name n k cliquesize time
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_4_k5.txt 25 2.0 6 16
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_6_k10.txt 75 7.0 44 78
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_6_k25.txt 100 18.0 59 198
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_5_k10.txt 100 7.0 60 88
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_4_k45.txt 50 26.0 18 233
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_8_k50.txt 75 28.0 44 138
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_3_k60.txt 100 28.0 33 103
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_3_k70.txt 25 20.0 9 36
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_6_k45.txt 100 22.0 59 350
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_2_k60.txt 50 29.0 17 132
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_8_k55.txt 100 42.0 60 467
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_8_k75.txt 25 31.0 14 115
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_4_k40.txt 25 12.0 9 29
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_4_k85.txt 50 37.0 17 109
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_5_k40.txt 75 27.0 45 175
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_7_k80.txt 25 32.0 14 151
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_4_k60.txt 50 36.0 17 177
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_8_k95.txt 75 63.0 45 759
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_3_k90.txt 100 43.0 33 205
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_5_k45.txt 25 20.0 13 61
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_2_k35.txt 75 18.0 25 100
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_3_k20.txt 25 7.0 9 30
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_3_k60.txt 50 33.0 18 162
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_1_k75.txt 100 43.0 33 546
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_5_k60.txt 100 39.0 60 566
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_5_k55.txt 25 24.0 12 224
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_5_k30.txt 100 24.0 60 442
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_2_k45.txt 25 17.0 8 79
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_4_k15.txt 100 9.0 32 82
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_2_k40.txt 50 18.0 17 52
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_3_k65.txt 50 32.0 18 97
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_8_k35.txt 75 22.0 44 95
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_7_k70.txt 50 40.0 30 190
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_7_k10.txt 25 5.0 14 29
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_1_k75.txt 25 20.0 8 68
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_1_k10.txt 75 6.0 21 45
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_5_k50.txt 25 19.0 12 84
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_4_k100.txt 75 44.0 25 193
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_6_k55.txt 25 20.0 12 82
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_8_k40.txt 100 27.0 60 160
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_5_k95.txt 50 54.0 28 953
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_1_k45.txt 50 25.0 17 87
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_3_k40.txt 100 20.0 32 119
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_8_k20.txt 50 14.0 30 44
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_5_k5.txt 50 3.0 29 45
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_3_k80.txt 100 40.0 33 285
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_6_k70.txt 100 35.0 60 444
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_4_k50.txt 50 23.0 17 68
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_4_k10.txt 100 5.0 32 40
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_5_k30.txt 75 23.0 45 101
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_4_k30.txt 75 13.0 24 95
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_2_k45.txt 50 27.0 17 159
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_1_k65.txt 50 29.0 17 360
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_4_k65.txt 100 29.0 32 411
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_7_k80.txt 50 44.0 30 407
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_4_k95.txt 50 48.0 17 422
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_7_k85.txt 25 42.0 13 458
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_5_k70.txt 100 52.0 60 1503
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_5_k50.txt 75 34.0 45 564
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_1_k5.txt 75 2.0 17 24
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_50_5_k25.txt 50 17.0 30 120
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_25_5_k65.txt 25 29.0 12 150
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_1_k35.txt 75 23.0 25 74
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_75_5_k85.txt 75 57.0 45 1355
C://Users/Markus/master-markus/Code/data/synthetic/np_cost/all_k/random_split_100_7_k50.txt 100 32.0 60 252
