% n=30 p=33 d=0.66 p_blue=0.33
% k=0
0 1 2
1 19 1
5 9 2
0 6 2
6 23 2
2 15 1
4 18 1
9 14 1
3 27 1
2 20 1
0 11 1
1 5 2
6 7 2
5 21 2
5 11 1
6 22 2
4 29 1
3 23 1
2 12 1
6 13 1
3 29 2
2 14 2
6 28 1
4 20 1
0 25 2
3 19 1
8 27 1
6 15 2
9 12 1
0 19 1
2 21 1
2 4 2
0 9 2
0 17 1
2 29 1
0 29 1
4 22 1
5 25 1
6 16 1
9 15 1
6 11 1
8 14 2
1 23 1
0 3 2
1 14 1
3 9 2
6 25 2
0 2 2
3 22 2
9 19 1
9 11 1
3 16 1
2 23 1
8 20 1
0 4 2
3 21 1
6 20 2
0 16 1
8 15 1
3 26 2
8 9 2
0 24 2
4 5 2
7 26 2
8 29 1
1 6 2
1 2 2
9 13 2
1 10 1
2 28 1
3 4 2
2 5 2
4 17 1
9 27 2
8 19 2
5 14 1
5 27 1
0 28 1
1 12 1
1 26 1
6 26 1
6 10 1
7 16 1
3 17 2
7 9 2
0 14 1
7 23 2
5 28 2
4 14 1
0 10 1
9 20 1
2 16 2
5 18 2
9 23 1
6 12 1
7 18 1
1 22 1
4 8 2
2 17 2
3 6 2
5 10 1
9 17 1
6 21 1
4 9 2
4 15 1
2 3 2
5 7 2
1 4 2
2 13 1
0 20 2
3 10 1
7 8 2
2 9 2
6 24 2
4 12 1
9 21 1
4 24 1
0 15 2
1 8 2
1 27 1
1 11 2
5 19 2
0 7 2
5 29 1
8 12 1
9 16 2
7 19 1
7 29 2
5 6 2
8 10 2
1 3 2
9 29 1
8 11 1
7 17 1
2 26 1
3 5 2
7 15 1
7 25 2
3 15 1
4 23 2
2 19 1
3 25 1
8 16 2
0 23 1
6 17 2
8 24 2
18 26 2
6 8 1
5 8 1
0 26 1
6 9 1
7 27 2
9 26 2
24 27 2
2 6 1
1 18 1
3 24 1
3 18 2
26 27 2
4 6 1
3 8 2
5 24 2
3 7 1
0 8 1
2 8 1
8 26 2
