name k time
../data/synthetic/polytime_cost/all_k/random_split_25_4_k60.txt 23.0 136
../data/synthetic/polytime_cost/all_k/random_split_25_8_k60.txt 37.0 143
../data/synthetic/polytime_cost/all_k/random_split_25_7_k75.txt 38.0 153
../data/synthetic/polytime_cost/all_k/random_split_25_7_k85.txt 44.0 154
../data/synthetic/polytime_cost/all_k/random_split_25_7_k90.txt 47.0 157
../data/synthetic/polytime_cost/all_k/random_split_50_1_k80.txt 44.0 459
../data/synthetic/polytime_cost/all_k/random_split_50_2_k40.txt 24.0 501
../data/synthetic/polytime_cost/all_k/random_split_50_3_k5.txt 3.0 483
../data/synthetic/polytime_cost/all_k/random_split_50_7_k40.txt 25.0 508
../data/synthetic/polytime_cost/all_k/random_split_50_5_k85.txt 45.0 535
../data/synthetic/polytime_cost/all_k/random_split_25_1_k65.txt 20.0 106
../data/synthetic/polytime_cost/all_k/random_split_50_7_k70.txt 35.0 561
../data/synthetic/polytime_cost/all_k/random_split_75_4_k40.txt 26.0 913
../data/synthetic/polytime_cost/all_k/random_split_50_5_k25.txt 13.0 373
../data/synthetic/polytime_cost/all_k/random_split_100_7_k40.txt 26.0 1050
../data/synthetic/polytime_cost/all_k/random_split_50_3_k20.txt 8.0 466
../data/synthetic/polytime_cost/all_k/random_split_25_8_k5.txt 4.0 113
../data/synthetic/polytime_cost/all_k/random_split_50_3_k30.txt 19.0 476
../data/synthetic/polytime_cost/all_k/random_split_75_5_k15.txt 11.0 1206
../data/synthetic/polytime_cost/all_k/random_split_50_1_k5.txt 4.0 415
../data/synthetic/polytime_cost/all_k/random_split_75_4_k100.txt 64.0 1206
../data/synthetic/polytime_cost/all_k/random_split_25_3_k30.txt 12.0 123
../data/synthetic/polytime_cost/all_k/random_split_50_4_k10.txt 4.0 332
../data/synthetic/polytime_cost/all_k/random_split_75_1_k70.txt 49.0 1018
../data/synthetic/polytime_cost/all_k/random_split_50_6_k80.txt 58.0 481
../data/synthetic/polytime_cost/all_k/random_split_100_4_k100.txt 48.0 1459
../data/synthetic/polytime_cost/all_k/random_split_25_2_k45.txt 15.0 103
../data/synthetic/polytime_cost/all_k/random_split_25_3_k5.txt 1.0 64
../data/synthetic/polytime_cost/all_k/random_split_50_4_k15.txt 9.0 494
../data/synthetic/polytime_cost/all_k/random_split_100_4_k40.txt 13.0 1337
../data/synthetic/polytime_cost/all_k/random_split_25_1_k60.txt 22.0 106
../data/synthetic/polytime_cost/all_k/random_split_50_2_k75.txt 43.0 366
../data/synthetic/polytime_cost/all_k/random_split_25_6_k25.txt 16.0 74
../data/synthetic/polytime_cost/all_k/random_split_75_8_k35.txt 19.0 1008
../data/synthetic/polytime_cost/all_k/random_split_75_5_k75.txt 42.0 1189
../data/synthetic/polytime_cost/all_k/random_split_75_5_k10.txt 8.0 1028
../data/synthetic/polytime_cost/all_k/random_split_100_3_k55.txt 35.0 1349
../data/synthetic/polytime_cost/all_k/random_split_50_2_k20.txt 15.0 373
../data/synthetic/polytime_cost/all_k/random_split_50_1_k10.txt 5.0 420
../data/synthetic/polytime_cost/all_k/random_split_25_8_k50.txt 30.0 120
../data/synthetic/polytime_cost/all_k/random_split_75_7_k30.txt 21.0 921
../data/synthetic/polytime_cost/all_k/random_split_100_1_k95.txt 44.0 1133
