name n k cliquesize time
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_25_1_k10.txt 24 5.0 9 17
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_5_k5.txt 100 2.0 60 64
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_50_2_k45.txt 50 21.0 17 145
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_25_2_k45.txt 23 16.0 9 122
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_25_7_k80.txt 25 46.0 15 480
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_75_4_k45.txt 75 29.0 25 391
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_25_7_k95.txt 25 50.0 14 1163
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_5_k50.txt 100 34.0 60 1342
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_75_7_k65.txt 75 43.0 45 1467
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_8_k65.txt 100 43.0 60 1230
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_25_1_k55.txt 24 24.0 8 88
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_75_8_k65.txt 75 48.0 45 1335
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_50_7_k20.txt 50 7.0 30 69
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_75_1_k60.txt 75 40.0 25 844
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_7_k15.txt 100 12.0 60 192
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_75_1_k75.txt 75 51.0 25 2020
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_75_3_k75.txt 75 41.0 25 550
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_25_1_k60.txt 24 22.0 9 96
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_25_3_k5.txt 25 0.0 0 13
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_50_7_k100.txt 50 50.0 30 873
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_50_6_k50.txt 50 28.0 30 380
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_25_6_k90.txt 25 43.0 12 797
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_50_6_k85.txt 50 47.0 30 1070
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_50_8_k95.txt 50 57.0 30 792
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_50_7_k70.txt 50 35.0 30 455
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_1_k20.txt 100 5.0 33 75
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_25_8_k85.txt 25 48.0 15 378
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_3_k100.txt 100 56.0 33 1251
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_2_k75.txt 100 39.0 33 642
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_75_3_k80.txt 75 43.0 25 802
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_75_3_k50.txt 75 27.0 25 263
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_50_8_k30.txt 50 15.0 30 276
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_4_k75.txt 100 46.0 33 643
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_50_1_k20.txt 50 10.0 17 148
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_50_3_k65.txt 50 34.0 17 361
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_75_3_k85.txt 75 43.0 25 598
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_75_8_k80.txt 75 42.0 45 604
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_6_k75.txt 100 48.0 60 1831
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_6_k30.txt 100 21.0 58 332
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_k/random_split_100_1_k100.txt 100 61.0 33 3519
