name k time
../data/synthetic/polytime_cost/all_n/random_split_10_6_k30.txt 6.0 70
../data/synthetic/polytime_cost/all_n/random_split_60_2_k30.txt 16.0 569
../data/synthetic/polytime_cost/all_n/random_split_100_6_k10.txt 5.0 986
../data/synthetic/polytime_cost/all_n/random_split_70_4_k80.txt 41.0 1017
../data/synthetic/polytime_cost/all_n/random_split_90_2_k20.txt 10.0 1123
../data/synthetic/polytime_cost/all_n/random_split_20_2_k70.txt 20.0 70
../data/synthetic/polytime_cost/all_n/random_split_50_5_k70.txt 54.0 454
../data/synthetic/polytime_cost/all_n/random_split_20_1_k50.txt 16.0 96
../data/synthetic/polytime_cost/all_n/random_split_100_1_k20.txt 10.0 1489
../data/synthetic/polytime_cost/all_n/random_split_120_4_k40.txt 26.0 1769
../data/synthetic/polytime_cost/all_n/random_split_40_5_k30.txt 12.0 282
../data/synthetic/polytime_cost/all_n/random_split_170_2_k80.txt 48.0 2258
../data/synthetic/polytime_cost/all_n/random_split_180_4_k30.txt 18.0 2309
../data/synthetic/polytime_cost/all_n/random_split_170_2_k100.txt 54.0 2324
../data/synthetic/polytime_cost/all_n/random_split_190_1_k80.txt 38.0 2477
../data/synthetic/polytime_cost/all_n/random_split_60_6_k90.txt 62.0 1029
../data/synthetic/polytime_cost/all_n/random_split_130_7_k30.txt 19.0 1675
../data/synthetic/polytime_cost/all_n/random_split_200_3_k70.txt 36.0 2927
../data/synthetic/polytime_cost/all_n/random_split_200_2_k90.txt 50.0 3054
../data/synthetic/polytime_cost/all_n/random_split_60_4_k80.txt 39.0 658
../data/synthetic/polytime_cost/all_n/random_split_20_6_k60.txt 17.0 86
../data/synthetic/polytime_cost/all_n/random_split_20_1_k40.txt 13.0 99
../data/synthetic/polytime_cost/all_n/random_split_70_8_k50.txt 32.0 998
../data/synthetic/polytime_cost/all_n/random_split_100_8_k80.txt 51.0 1032
../data/synthetic/polytime_cost/all_n/random_split_160_6_k20.txt 15.0 2211
../data/synthetic/polytime_cost/all_n/random_split_10_8_k80.txt 11.0 40
../data/synthetic/polytime_cost/all_n/random_split_20_2_k40.txt 12.0 74
../data/synthetic/polytime_cost/all_n/random_split_70_8_k40.txt 20.0 1197
../data/synthetic/polytime_cost/all_n/random_split_100_8_k50.txt 36.0 1364
../data/synthetic/polytime_cost/all_n/random_split_150_7_k40.txt 27.0 2263
../data/synthetic/polytime_cost/all_n/random_split_200_7_k20.txt 17.0 2803
../data/synthetic/polytime_cost/all_n/random_split_80_8_k80.txt 44.0 1029
../data/synthetic/polytime_cost/all_n/random_split_140_1_k20.txt 12.0 1660
../data/synthetic/polytime_cost/all_n/random_split_200_2_k100.txt 55.0 2948
../data/synthetic/polytime_cost/all_n/random_split_40_1_k40.txt 21.0 294
../data/synthetic/polytime_cost/all_n/random_split_160_5_k70.txt 52.0 1819
../data/synthetic/polytime_cost/all_n/random_split_200_7_k90.txt 61.0 2734
../data/synthetic/polytime_cost/all_n/random_split_140_2_k10.txt 6.0 1978
../data/synthetic/polytime_cost/all_n/random_split_10_4_k10.txt 2.0 38
../data/synthetic/polytime_cost/all_n/random_split_130_8_k90.txt 63.0 1860
../data/synthetic/polytime_cost/all_n/random_split_10_2_k10.txt 2.0 46
../data/synthetic/polytime_cost/all_n/random_split_100_1_k60.txt 36.0 1702
../data/synthetic/polytime_cost/all_n/random_split_130_6_k40.txt 27.0 1553
../data/synthetic/polytime_cost/all_n/random_split_80_6_k10.txt 6.0 1015
../data/synthetic/polytime_cost/all_n/random_split_190_2_k70.txt 33.0 2788
../data/synthetic/polytime_cost/all_n/random_split_170_3_k70.txt 35.0 2144
../data/synthetic/polytime_cost/all_n/random_split_190_1_k40.txt 18.0 2764
../data/synthetic/polytime_cost/all_n/random_split_90_4_k70.txt 32.0 1485
../data/synthetic/polytime_cost/all_n/random_split_90_7_k50.txt 26.0 1292
../data/synthetic/polytime_cost/all_n/random_split_150_3_k50.txt 26.0 2344
../data/synthetic/polytime_cost/all_n/random_split_200_8_k30.txt 14.0 2829
../data/synthetic/polytime_cost/all_n/random_split_170_6_k90.txt 65.0 2302
../data/synthetic/polytime_cost/all_n/random_split_90_1_k60.txt 38.0 901
