name n k cliquesize time
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_30_4_k30.txt 30 14.0 10 147
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_60_3_k30.txt 60 14.0 20 171
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_40_1_k50.txt 40 22.0 13 291
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_10_6_k100.txt 10 7.0 4 14
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_60_3_k40.txt 60 26.0 20 298
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_60_8_k60.txt 60 38.0 36 654
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_120_4_k80.txt 120 35.0 38 1292
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_130_2_k50.txt 130 33.0 43 1621
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_50_4_k90.txt 50 52.0 17 911
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_50_6_k60.txt 50 37.0 30 1656
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_160_1_k40.txt 160 23.0 51 1698
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_120_8_k20.txt 120 14.0 68 812
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_20_1_k90.txt 20 19.0 6 78
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_70_6_k60.txt 70 43.0 42 2453
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_60_8_k50.txt 60 29.0 35 580
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_50_5_k10.txt 50 8.0 30 100
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_150_3_k60.txt 150 34.0 47 1948
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_120_5_k30.txt 120 24.0 71 1054
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_30_3_k70.txt 30 31.0 10 133
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_10_3_k40.txt 10 8.0 3 27
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_120_2_k90.txt 120 63.0 37 2813
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_120_7_k90.txt 120 58.0 72 2765
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_160_8_k50.txt 160 27.0 93 2433
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_10_8_k50.txt 10 10.0 5 18
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_160_8_k40.txt 160 27.0 95 1671
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_10_6_k80.txt 10 8.0 4 64
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_160_7_k40.txt 160 28.0 94 2127
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_160_1_k50.txt 160 20.0 53 926
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_110_3_k70.txt 110 42.0 37 1218
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_70_8_k80.txt 70 41.0 42 466
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_140_2_k70.txt 140 49.0 47 2216
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_190_6_k30.txt 190 23.0 113 4048
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_180_3_k90.txt 180 49.0 60 3260
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_200_4_k50.txt 200 24.0 66 2296
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_160_3_k30.txt 160 14.0 51 594
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_20_2_k90.txt 19 21.0 6 71
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_160_5_k10.txt 160 8.0 89 790
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_70_8_k60.txt 70 39.0 42 511
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_140_3_k100.txt 140 54.0 47 2669
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_10_4_k10.txt 10 2.0 3 12
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_80_7_k60.txt 80 32.0 48 653
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_40_5_k50.txt 40 38.0 23 668
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_100_2_k10.txt 100 8.0 27 154
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_140_6_k40.txt 140 31.0 84 1637
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_140_7_k60.txt 140 46.0 84 2475
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_200_2_k30.txt 200 18.0 63 1550
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_140_2_k80.txt 140 42.0 47 1924
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_110_1_k40.txt 110 19.0 37 373
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_10_1_k100.txt 8 2.0 3 9
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_10_4_k60.txt 10 5.0 4 12
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_180_1_k30.txt 180 15.0 48 1303
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_60_4_k70.txt 60 31.0 20 274
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_10_8_k40.txt 10 7.0 5 27
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_40_8_k70.txt 40 47.0 24 643
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_30_1_k20.txt 29 8.0 10 85
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_100_4_k20.txt 100 13.0 32 422
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_30_7_k30.txt 30 25.0 18 139
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_190_6_k40.txt 190 34.0 114 4735
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_110_8_k30.txt 110 17.0 56 933
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_100_3_k70.txt 100 42.0 33 755
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_190_1_k20.txt 190 14.0 59 1058
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_30_2_k50.txt 29 29.0 10 121
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_160_6_k10.txt 160 6.0 79 556
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_50_4_k50.txt 50 22.0 17 197
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_140_4_k10.txt 140 6.0 47 316
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_110_4_k80.txt 110 49.0 37 1285
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_110_8_k80.txt 110 38.0 66 1275
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_140_6_k60.txt 140 48.0 83 5450
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_110_7_k20.txt 110 15.0 62 411
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_30_7_k40.txt 30 32.0 17 201
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_40_6_k40.txt 40 26.0 23 822
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_190_7_k70.txt 190 44.0 113 4103
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_180_2_k60.txt 180 32.0 59 1712
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_120_8_k100.txt 120 75.0 72 3334
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_120_4_k70.txt 120 47.0 40 1767
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_30_6_k100.txt 30 50.0 17 923
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_40_4_k30.txt 40 18.0 13 105
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_50_5_k90.txt 50 58.0 30 2234
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_80_1_k70.txt 80 34.0 27 501
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_40_5_k20.txt 40 13.0 21 91
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_40_6_k10.txt 40 6.0 24 90
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_50_8_k20.txt 50 13.0 24 80
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_150_7_k20.txt 150 9.0 69 509
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_90_2_k20.txt 90 10.0 29 131
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_60_4_k100.txt 60 57.0 20 1481
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_170_8_k50.txt 170 29.0 100 2363
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_110_1_k70.txt 110 43.0 37 977
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_160_7_k90.txt 160 60.0 96 3499
C://Users/Markus/master-markus/Code/data/synthetic/polytime_cost/all_n/random_split_70_6_k90.txt 70 57.0 41 2623
